day,collision_date,NUM_COLLISIONS
4,2014-04-10,645
1,2014-04-07,533
6,2014-05-03,590
2,2014-03-18,551
6,2014-03-22,493
1,2014-03-24,547
3,2014-03-05,491
6,2014-02-15,516
2,2014-03-04,532
6,2014-01-25,475
3,2014-01-15,583
2,2013-12-31,465
6,2013-12-07,567
1,2013-12-09,639
1,2013-11-18,611
4,2013-11-28,429
2,2013-11-19,600
7,2013-11-10,474
5,2013-08-16,678
3,2013-10-30,558
7,2018-11-04,502
5,2018-11-09,867
3,2018-10-17,699
1,2018-06-18,808
5,2018-07-13,726
7,2018-06-24,553
5,2021-05-28,358
3,2021-06-16,370
2,2022-06-28,295
1,2022-01-17,203
7,2021-10-24,236
1,2021-11-01,331
1,2021-07-26,359
6,2022-01-22,267
6,2021-08-28,303
4,2021-09-09,294
3,2021-11-17,317
1,2021-11-22,314
3,2021-12-01,266
2,2021-12-07,321
2,2013-09-10,629
4,2013-09-12,695
3,2013-08-14,622
6,2013-08-24,527
3,2013-07-10,614
2,2013-07-23,571
4,2013-07-18,636
6,2013-07-06,516
7,2013-06-16,477
4,2013-07-04,438
6,2013-04-27,517
7,2013-04-28,440
1,2013-04-15,603
6,2016-06-11,584
1,2016-06-27,718
2,2016-06-21,681
5,2016-05-27,767
4,2016-05-05,626
1,2016-04-18,687
2,2016-04-26,479
1,2016-04-11,624
2,2016-03-22,628
1,2016-03-21,617
3,2016-03-16,629
7,2016-03-06,500
4,2016-02-25,663
5,2016-02-26,476
2,2016-03-01,662
1,2016-02-15,291
2,2018-03-27,627
4,2017-12-21,742
5,2017-12-08,682
3,2018-02-07,653
3,2018-01-10,687
5,2017-11-17,814
2,2017-11-21,790
2,2017-11-28,649
6,2021-01-30,284
1,2021-02-08,301
4,2020-12-17,233
4,2020-10-29,334
1,2020-11-02,327
3,2020-11-11,300
3,2020-09-02,309
3,2020-08-26,310
1,2020-09-07,295
7,2020-05-10,163
6,2013-03-23,488
1,2013-02-25,490
5,2013-03-08,851
3,2012-12-26,531
4,2012-12-20,606
7,2013-01-06,393
6,2012-12-08,580
2,2012-12-04,621
1,2012-11-19,585
4,2012-11-22,384
4,2012-11-08,550
5,2012-11-09,688
1,2012-11-12,547
7,2012-11-04,344
4,2012-11-01,439
7,2012-10-14,517
6,2012-11-03,307
5,2012-09-21,654
6,2012-10-06,500
6,2016-02-13,480
4,2015-12-10,668
3,2015-11-25,717
2,2015-10-13,724
3,2015-09-16,748
2,2015-08-25,595
2,2015-08-18,623
1,2017-08-07,606
3,2017-08-23,629
5,2017-06-23,793
3,2012-08-22,504
6,2012-09-01,515
4,2012-08-23,574
3,2012-08-15,602
5,2012-07-13,603
6,2012-07-14,536
6,2012-07-21,528
7,2012-07-01,538
1,2012-07-09,533
3,2023-05-31,266
5,2023-09-29,318
2,2022-11-22,306
5,2022-11-25,233
1,2023-07-03,274
5,2023-07-07,269
4,2022-12-15,335
2,2023-07-11,276
4,2023-01-19,298
3,2023-01-18,258
1,2020-03-16,378
1,2020-03-09,546
1,2020-01-27,452
4,2020-02-13,504
6,2019-12-28,355
1,2020-01-13,476
3,2019-11-27,561
2,2019-11-19,630
2,2019-11-26,702
4,2019-12-05,597
2,2019-11-12,595
3,2019-10-02,688
4,2019-10-03,690
7,2023-08-20,261
1,2023-08-21,254
6,2023-04-08,223
3,2023-04-26,285
3,2023-12-27,234
4,2015-07-16,686
2,2015-07-14,657
5,2015-07-03,549
3,2015-07-08,620
3,2015-07-01,683
7,2015-07-05,467
6,2015-06-27,595
1,2015-06-22,774
7,2015-06-07,559
1,2015-06-08,634
7,2015-05-24,432
6,2015-04-25,592
3,2015-03-25,538
4,2015-03-26,525
3,2015-02-25,628
4,2015-03-19,582
5,2015-02-27,703
4,2015-02-12,526
4,2017-05-11,686
4,2017-03-09,665
2,2017-03-14,374
3,2017-03-15,650
5,2017-02-17,680
1,2017-01-09,669
7,2017-01-08,406
6,2019-08-03,566
7,2019-07-28,527
6,2019-06-22,635
2,2019-04-16,638
5,2019-03-15,673
1,2019-03-04,503
3,2019-02-06,615
5,2016-10-28,798
2,2016-11-01,732
3,2016-08-24,635
1,2016-08-29,673
1,2016-07-25,698
4,2019-02-14,664
2,2019-02-26,670
3,2019-02-13,639
5,2019-02-01,651
5,2019-01-11,644
3,2018-11-14,688
5,2018-11-30,743
6,2018-11-24,536
3,2018-12-05,652
7,2015-01-25,406
2,2014-12-30,469
7,2015-01-04,381
5,2014-12-05,673
2,2014-12-02,611
5,2014-12-12,687
4,2014-11-13,696
1,2014-09-29,566
4,2014-10-02,558
5,2014-09-05,647
5,2014-08-22,568
7,2014-08-24,437
7,2014-07-20,451
6,2014-07-19,480
1,2014-07-14,567
7,2014-06-29,537
3,2014-06-11,576
3,2014-06-18,663
4,2014-05-22,593
3,2014-05-14,638
5,2014-05-09,584
4,2014-05-01,650
1,2014-03-31,559
7,2014-03-23,427
3,2014-03-26,563
6,2014-02-22,587
6,2014-01-11,465
7,2014-01-05,320
4,2013-12-26,428
7,2013-12-22,505
6,2013-12-21,595
2,2013-12-10,539
6,2013-12-28,475
6,2013-11-30,479
7,2013-11-24,494
2,2013-11-26,867
4,2013-10-17,574
1,2013-10-28,620
4,2018-11-01,696
4,2018-10-18,735
4,2018-09-13,718
3,2018-08-08,656
3,2018-06-13,706
4,2021-07-22,329
5,2021-07-30,383
3,2022-02-02,268
4,2021-11-25,217
6,2022-05-07,293
2,2013-10-01,616
2,2013-08-13,553
5,2013-09-06,525
2,2013-07-09,583
3,2013-07-17,609
5,2013-07-12,599
1,2013-06-17,614
7,2013-06-23,505
6,2013-06-01,631
1,2013-05-13,577
7,2013-05-12,527
1,2013-04-29,598
3,2013-04-24,598
7,2013-04-21,471
5,2016-06-10,818
2,2016-06-28,675
2,2016-05-10,608
2,2016-05-03,711
4,2016-04-21,694
2,2016-04-19,732
7,2016-04-10,499
6,2016-04-09,557
1,2016-03-14,640
1,2016-02-29,616
7,2016-02-21,481
7,2018-02-04,541
3,2018-02-14,671
5,2017-09-22,614
1,2022-08-22,249
4,2022-08-25,277
4,2021-03-04,262
3,2021-03-17,243
7,2020-11-15,251
4,2020-09-03,363
4,2020-09-10,347
6,2020-05-30,226
7,2020-06-14,228
2,2013-03-19,559
7,2013-02-24,426
6,2013-02-16,449
6,2013-03-09,569
4,2013-02-28,517
4,2013-01-03,549
2,2012-11-27,583
2,2013-01-29,542
4,2013-01-10,555
2,2013-01-15,516
4,2012-12-27,525
1,2012-11-26,563
7,2012-11-18,446
5,2012-12-07,714
6,2012-10-27,524
1,2012-11-05,479
5,2012-10-12,594
7,2012-10-28,403
5,2012-11-02,345
3,2012-09-12,651
2,2012-09-18,556
4,2016-01-14,597
1,2015-12-14,637
7,2015-12-13,549
2,2015-12-08,618
6,2015-12-05,629
5,2015-11-27,480
7,2015-11-01,312
4,2015-11-05,690
7,2015-11-08,472
7,2015-11-15,500
6,2015-10-10,649
2,2015-10-20,714
3,2015-10-14,658
4,2015-10-15,683
4,2015-09-24,619
5,2015-09-25,585
2,2015-09-22,571
1,2015-08-17,592
3,2015-08-12,643
7,2015-07-26,551
1,2017-10-16,641
7,2017-09-17,586
7,2017-07-23,554
3,2012-09-05,601
7,2012-08-26,471
5,2012-08-17,574
4,2012-08-30,618
3,2012-08-01,616
7,2012-07-08,464
7,2023-06-11,251
5,2022-11-04,287
1,2022-11-14,264
3,2023-01-11,216
5,2023-10-13,311
2,2020-05-05,174
4,2020-03-12,456
5,2020-02-21,504
6,2020-01-18,774
3,2020-02-19,477
2,2019-12-24,530
6,2019-11-30,465
7,2019-11-10,457
7,2019-10-06,435
4,2019-09-19,605
6,2019-08-31,502
1,2023-04-24,302
1,2023-05-22,286
5,2023-11-17,327
5,2023-12-22,323
5,2023-12-29,263
2,2024-02-20,225
1,2015-08-03,705
2,2015-08-04,666
5,2015-07-24,490
2,2015-06-30,622
3,2015-06-17,706
4,2015-07-09,567
7,2015-06-21,620
4,2015-06-18,615
5,2015-05-22,727
6,2015-05-02,540
5,2015-03-27,532
6,2015-04-04,507
3,2015-04-08,457
7,2015-03-08,464
6,2015-03-21,507
4,2015-02-26,539
6,2015-02-21,517
2,2015-02-17,620
7,2015-02-08,394
4,2016-12-29,542
3,2019-08-28,553
4,2019-06-27,734
2,2019-06-25,662
1,2019-07-01,693
3,2019-06-05,655
4,2019-06-20,697
2,2019-06-11,682
7,2019-05-26,510
7,2019-04-28,395
6,2019-04-06,587
7,2019-03-31,450
5,2019-03-08,652
1,2016-10-03,490
1,2016-09-12,648
