day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
3,2020,01,01,2020-01-01,40.3,29.9,1003.0,10.0,11.4,20.0,26.0,52.0,36.0,0.01,999.9,0,346
4,2020,01,02,2020-01-02,39.6,28.9,1011.8,10.0,13.0,19.0,26.0,46.0,33.1,0.01,999.9,0,413
5,2020,01,03,2020-01-03,45.8,42.9,1010.3,7.0,10.3,15.0,999.9,46.9,33.1,0.0,999.9,0,456
6,2020,01,04,2020-01-04,45.4,43.9,1005.6,3.6,5.7,9.9,999.9,48.9,44.1,0.08,999.9,1,353
7,2020,01,05,2020-01-05,40.1,33.8,1001.6,7.1,17.0,27.0,38.1,48.9,36.0,0.38,999.9,1,291
1,2020,01,06,2020-01-06,33.5,24.0,1013.2,9.9,5.3,15.0,999.9,43.0,24.1,0.01,999.9,0,459
2,2020,01,07,2020-01-07,39.0,26.6,1016.6,10.0,8.0,13.0,999.9,43.0,24.1,0.0,999.9,0,408
3,2020,01,08,2020-01-08,37.2,31.1,1009.8,8.4,14.1,24.1,35.0,43.0,33.1,0.49,999.9,0,454
4,2020,01,09,2020-01-09,29.5,10.8,1030.7,10.0,15.3,22.0,35.0,42.1,24.1,0.34,999.9,0,521
5,2020,01,10,2020-01-10,39.7,32.2,1036.6,9.3,11.3,17.1,24.1,50.0,21.0,0.0,999.9,0,522
6,2020,01,11,2020-01-11,49.4,46.1,1028.6,6.7,13.8,21.0,27.0,53.1,46.9,0.0,999.9,1,439
7,2020,01,12,2020-01-12,52.0,49.4,1017.2,2.9,19.0,26.0,36.9,55.9,44.6,0.0,999.9,1,391
1,2020,01,13,2020-01-13,42.5,37.0,1029.6,9.5,9.2,13.0,999.9,57.0,39.9,0.01,999.9,0,476
2,2020,01,14,2020-01-14,41.5,37.7,1026.2,8.8,5.3,8.9,999.9,44.1,37.9,0.0,999.9,0,497
3,2020,01,15,2020-01-15,43.9,38.3,1019.4,8.2,5.4,14.0,15.0,51.1,35.1,0.02,999.9,0,508
4,2020,01,16,2020-01-16,40.4,34.3,1010.7,6.6,11.0,28.9,44.1,48.9,30.2,0.01,999.9,1,547
5,2020,01,17,2020-01-17,27.1,10.8,1023.8,10.0,24.0,28.9,40.0,50.0,21.9,0.04,999.9,0,566
6,2020,01,18,2020-01-18,23.5,14.3,1032.4,9.6,8.4,17.1,29.9,33.1,19.0,0.0,999.9,0,774
7,2020,01,19,2020-01-19,41.2,35.8,1004.9,7.5,14.4,22.0,27.0,46.9,19.0,0.21,999.9,0,360
1,2020,01,20,2020-01-20,28.1,16.1,1015.1,10.0,15.7,20.0,27.0,46.9,21.9,0.04,999.9,0,390
2,2020,01,21,2020-01-21,27.8,15.2,1026.8,10.0,11.5,15.9,999.9,34.0,21.9,0.0,999.9,0,556
3,2020,01,22,2020-01-22,27.1,14.3,1029.8,10.0,4.2,8.9,999.9,34.0,17.1,0.0,999.9,0,489
4,2020,01,23,2020-01-23,32.3,26.5,1029.2,9.7,4.7,11.1,999.9,45.0,17.1,0.0,999.9,0,451
5,2020,01,24,2020-01-24,37.3,33.7,1028.5,6.5,3.3,8.0,999.9,46.0,19.9,0.0,999.9,1,524
6,2020,01,25,2020-01-25,43.1,39.6,1023.5,9.0,12.3,20.0,28.9,48.9,28.0,0.0,999.9,0,383
7,2020,01,26,2020-01-26,44.3,40.7,1006.4,6.5,13.0,19.0,28.0,51.1,36.0,0.44,999.9,1,398
1,2020,01,27,2020-01-27,40.1,33.8,1004.3,10.0,10.5,18.1,24.1,51.1,36.0,0.01,999.9,0,452
2,2020,01,28,2020-01-28,39.4,28.8,1005.1,10.0,9.8,17.1,21.0,45.0,36.0,0.0,999.9,0,404
3,2020,01,29,2020-01-29,35.3,22.5,1013.1,10.0,12.9,17.1,22.9,43.0,30.0,0.0,999.9,0,495
4,2020,01,30,2020-01-30,31.6,19.4,1023.4,10.0,9.4,15.0,999.9,37.0,21.9,0.0,999.9,0,525
5,2020,01,31,2020-01-31,29.8,22.3,1027.4,10.0,3.3,8.9,999.9,39.9,19.0,0.0,999.9,0,518
6,2020,02,01,2020-02-01,39.7,35.2,1015.9,9.9,7.2,12.0,999.9,44.1,37.0,0.04,999.9,0,409
7,2020,02,02,2020-02-02,38.5,33.0,1000.4,9.3,7.9,12.0,999.9,42.1,35.6,0.0,999.9,0,391
1,2020,02,03,2020-02-03,38.8,32.1,1005.6,9.9,8.1,15.0,22.0,45.0,32.0,0.0,999.9,0,559
