collision_date,NUM_COLLISIONS
2020-05-01,186
2020-05-02,189
2020-05-03,167
2020-05-04,174
2020-05-05,174
2020-05-06,184
2020-05-07,175
2020-05-08,177
2020-05-09,148
2020-05-10,163
2020-05-11,173
2020-05-12,191
2020-05-13,212
2020-05-14,171
2020-05-15,242
2020-05-16,217
2020-05-17,171
2020-05-18,185
2020-05-19,229
2020-05-20,192
2020-05-21,212
2020-05-22,264
2020-05-23,193
2020-05-24,197
2020-05-25,214
2020-05-26,224
2020-05-27,239
2020-05-28,209
2020-05-29,258
2020-05-30,226
2020-05-31,208
2020-06-01,196
2020-06-02,197
2020-06-03,216
2020-06-04,245
2020-06-05,248
2020-06-06,262
2020-06-07,206
2020-06-08,235
2020-06-09,251
2020-06-10,238
2020-06-11,251
2020-06-12,277
2020-06-13,282
2020-06-14,228
2020-06-15,223
2020-06-16,259
2020-06-17,244
2020-06-18,226
2020-06-19,306
2020-06-20,246
2020-06-21,245
2020-06-22,295
2020-06-23,291
2020-06-24,300
2020-06-25,251
2020-06-26,337
2020-06-27,273
2020-06-28,240
2020-06-29,301
2020-06-30,278
2020-07-01,259
2020-07-02,340
2020-07-03,302
2020-07-04,278
2020-07-05,290
2020-07-06,257
2020-07-07,243
2020-07-08,267
2020-07-09,313
2020-07-10,296
2020-07-11,274
2020-07-12,292
2020-07-13,290
2020-07-14,320
2020-07-15,268
2020-07-16,322
2020-07-17,308
2020-07-18,316
2020-07-19,313
2020-07-20,281
2020-07-21,331
2020-07-22,290
2020-07-23,332
2020-07-24,312
2020-07-25,291
2020-07-26,313
2020-07-27,320
2020-07-28,298
2020-07-29,318
2020-07-30,300
2020-07-31,343
2020-08-01,375
2020-08-02,286
2020-08-03,353
2020-08-04,451
2020-08-05,345
2020-08-06,356
2020-08-07,337
2020-08-08,260
2020-08-09,283
2020-08-10,320
2020-08-11,317
2020-08-12,293
2020-08-13,275
2020-08-14,344
2020-08-15,313
2020-08-16,279
2020-08-17,288
2020-08-18,311
2020-08-19,286
2020-08-20,306
2020-08-21,348
2020-08-22,328
2020-08-23,316
2020-08-24,320
2020-08-25,286
2020-08-26,310
2020-08-27,343
2020-08-28,306
2020-08-29,291
2020-08-30,303
2020-08-31,294
2020-09-01,337
2020-09-02,309
2020-09-03,363
2020-09-04,383
2020-09-05,362
2020-09-06,293
2020-09-07,295
2020-09-08,337
2020-09-09,292
2020-09-10,347
2020-09-11,351
2020-09-12,304
2020-09-13,245
2020-09-14,289
2020-09-15,301
2020-09-16,307
2020-09-17,322
2020-09-18,341
2020-09-19,330
2020-09-20,275
2020-09-21,310
2020-09-22,307
2020-09-23,356
2020-09-24,297
2020-09-25,348
2020-09-26,330
2020-09-27,315
2020-09-28,300
2020-09-29,317
2020-09-30,347
2020-10-01,332
2020-10-02,350
2020-10-03,323
2020-10-04,269
2020-10-05,302
2020-10-06,325
2020-10-07,308
2020-10-08,332
2020-10-09,330
2020-10-10,277
2020-10-11,248
2020-10-12,323
2020-10-13,323
2020-10-14,333
2020-10-15,311
2020-10-16,304
2020-10-17,335
2020-10-18,305
2020-10-19,276
2020-10-20,336
2020-10-21,338
2020-10-22,264
2020-10-23,337
2020-10-24,301
2020-10-25,281
2020-10-26,314
2020-10-27,262
2020-10-28,309
2020-10-29,334
2020-10-30,394
2020-10-31,334
2020-11-01,308
2020-11-02,327
2020-11-03,285
2020-11-04,302
2020-11-05,357
2020-11-06,365
2020-11-07,329
2020-11-08,326
2020-11-09,318
2020-11-10,343
2020-11-11,300
2020-11-12,327
2020-11-13,391
2020-11-14,298
2020-11-15,251
2020-11-16,305
2020-11-17,261
2020-11-18,295
2020-11-19,279
2020-11-20,358
2020-11-21,314
2020-11-22,222
2020-11-23,298
2020-11-24,324
2020-11-25,276
2020-11-26,203
2020-11-27,279
2020-11-28,239
2020-11-29,248
2020-11-30,301
2020-12-01,269
2020-12-02,235
2020-12-03,252
2020-12-04,372
2020-12-05,278
2020-12-06,241
2020-12-07,281
2020-12-08,282
2020-12-09,280
2020-12-10,311
2020-12-11,348
2020-12-12,285
2020-12-13,265
2020-12-14,250
2020-12-15,315
2020-12-16,341
2020-12-17,233
2020-12-18,278
2020-12-19,251
2020-12-20,194
2020-12-21,268
2020-12-22,320
2020-12-23,360
2020-12-24,315
2020-12-25,168
2020-12-26,226
2020-12-27,184
2020-12-28,217
2020-12-29,244
2020-12-30,238
2020-12-31,278
2021-01-01,257
2021-01-02,220
2021-01-03,186
2021-01-04,242
2021-01-05,228
2021-01-06,220
2021-01-07,285
2021-01-08,272
2021-01-09,244
2021-01-10,177
2021-01-11,238
2021-01-12,279
2021-01-13,245
2021-01-14,253
2021-01-15,272
2021-01-16,265
2021-01-17,210
2021-01-18,225
2021-01-19,261
2021-01-20,253
2021-01-21,251
2021-01-22,254
2021-01-23,251
2021-01-24,212
2021-01-25,260
2021-01-26,263
2021-01-27,262
2021-01-28,262
2021-01-29,291
2021-01-30,284
2021-01-31,297
2021-02-01,239
2021-02-02,238
2021-02-03,246
2021-02-04,277
2021-02-05,326
2021-02-06,275
2021-02-07,243
2021-02-08,301
2021-02-09,229
2021-02-10,279
2021-02-11,299
2021-02-12,290
2021-02-13,210
2021-02-14,184
2021-02-15,208
2021-02-16,213
2021-02-17,239
2021-02-18,256
2021-02-19,202
2021-02-20,257
2021-02-21,208
2021-02-22,245
2021-02-23,240
2021-02-24,267
2021-02-25,269
2021-02-26,301
2021-02-27,223
2021-02-28,212
2021-03-01,224
2021-03-02,268
2021-03-03,244
2021-03-04,262
2021-03-05,306
2021-03-06,251
2021-03-07,216
2021-03-08,250
2021-03-09,299
2021-03-10,224
2021-03-11,287
2021-03-12,338
2021-03-13,252
2021-03-14,244
2021-03-15,253
2021-03-16,237
2021-03-17,243
2021-03-18,244
2021-03-19,309
2021-03-20,283
2021-03-21,261
2021-03-22,295
2021-03-23,283
2021-03-24,268
2021-03-25,257
2021-03-26,336
2021-03-27,325
2021-03-28,198
2021-03-29,240
2021-03-30,281
2021-03-31,284
2021-04-01,263
2021-04-02,283
2021-04-03,281
2021-04-04,259
2021-04-05,268
2021-04-06,318
2021-04-07,303
2021-04-08,310
2021-04-09,281
2021-04-10,294
2021-04-11,215
2021-04-12,264
2021-04-13,321
2021-04-14,295
2021-04-15,270
2021-04-16,298
2021-04-17,265
2021-04-18,258
2021-04-19,320
2021-04-20,313
2021-04-21,283
2021-04-22,252
2021-04-23,357
2021-04-24,301
