"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","fog","NUM_COLLISIONS"
"1",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,40.4,21.5,0,442
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,34.5,19.8,0,456
"3",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,44,32.1,0,498
"4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,20.8,5.2,0,777
"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,22.6,10.2,0,538
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,13.1,-2.4,0,573
"7",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,35.2,22.5,0,751
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,26.9,10,0,481
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,40.9,35.6,1,580
"10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,32.6,25.6,0,613
"11",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,32.1,24,0,506
"12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,35.8,33.6,0,548
"13",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,34.5,23.4,0,563
"14",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,20.2,1.9,0,495
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,41.7,36,0,496
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,35.7,23.4,0,500
"17",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,32.3,17.7,0,495
"18",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,35.5,30.5,0,508
"19",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,31.6,20.4,0,598
"20",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,38.5,34.8,0,428
"21",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,31.2,20.9,0,484
"22",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,21.6,14.7,0,458
"23",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,29.2,20.9,0,519
"24",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,35.1,31.1,0,622
"25",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,24.5,12.9,0,526
