"","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","collision_date","temp","fog","NUM_COLLISIONS"
"1",1,0,0,0,0,0,0,2015,"2015-01-02",40.4,0,442
"2",0,0,1,0,0,0,0,2015,"2015-01-03",34.5,0,456
"3",0,1,0,0,0,0,0,2015,"2015-01-05",44,0,498
"4",0,0,0,0,0,1,0,2015,"2015-01-06",20.8,0,777
"5",0,0,0,0,0,0,1,2015,"2015-01-07",22.6,0,538
"6",0,0,0,0,1,0,0,2015,"2015-01-08",13.1,0,573
"7",1,0,0,0,0,0,0,2015,"2015-01-09",35.2,0,751
"8",0,0,1,0,0,0,0,2015,"2015-01-10",26.9,0,481
"9",0,1,0,0,0,0,0,2015,"2015-01-12",40.9,1,580
"10",0,0,0,0,0,1,0,2015,"2015-01-13",32.6,0,613
"11",0,0,0,0,0,0,1,2015,"2015-01-14",32.1,0,506
"12",0,0,0,0,1,0,0,2015,"2015-01-15",35.8,0,548
"13",1,0,0,0,0,0,0,2015,"2015-01-16",34.5,0,563
"14",0,0,1,0,0,0,0,2015,"2015-01-17",20.2,0,495
"15",0,1,0,0,0,0,0,2015,"2015-01-19",41.7,0,496
"16",0,0,0,0,0,1,0,2015,"2015-01-20",35.7,0,500
"17",0,0,0,0,0,0,1,2015,"2015-01-21",32.3,0,495
"18",0,0,0,0,1,0,0,2015,"2015-01-22",35.5,0,508
"19",1,0,0,0,0,0,0,2015,"2015-01-23",31.6,0,598
"20",0,0,1,0,0,0,0,2015,"2015-01-24",38.5,0,428
"21",0,1,0,0,0,0,0,2015,"2015-01-26",31.2,0,484
"22",0,0,0,0,0,0,1,2015,"2015-01-28",21.6,0,458
"23",0,0,0,0,1,0,0,2015,"2015-01-29",29.2,0,519
"24",1,0,0,0,0,0,0,2015,"2015-01-30",35.1,0,622
"25",0,0,1,0,0,0,0,2015,"2015-01-31",24.5,0,526
"26",0,1,0,0,0,0,0,2015,"2015-02-02",33.1,1,680
"27",0,0,0,0,0,1,0,2015,"2015-02-03",21,0,740
"28",0,0,0,0,0,0,1,2015,"2015-02-04",28.1,0,585
"29",0,0,0,0,1,0,0,2015,"2015-02-05",34.1,1,569
"30",1,0,0,0,0,0,0,2015,"2015-02-06",16.8,0,652
"31",0,0,1,0,0,0,0,2015,"2015-02-07",27.4,0,449
"32",0,1,0,0,0,0,0,2015,"2015-02-09",37.1,0,547
"33",0,0,0,0,0,1,0,2015,"2015-02-10",36.4,0,571
"34",0,0,0,0,0,0,1,2015,"2015-02-11",32.6,0,610
"35",0,0,0,0,1,0,0,2015,"2015-02-12",31,0,526
"36",1,0,0,0,0,0,0,2015,"2015-02-13",21.8,0,757
"37",0,0,1,0,0,0,0,2015,"2015-02-14",20.6,1,436
"38",0,0,0,1,0,0,0,2015,"2015-02-15",25.7,1,454
"39",0,0,0,0,0,1,0,2015,"2015-02-17",21.7,0,620
"40",0,0,0,0,0,0,1,2015,"2015-02-18",30.6,0,626
"41",0,0,0,0,1,0,0,2015,"2015-02-19",27,0,515
"42",1,0,0,0,0,0,0,2015,"2015-02-20",14.1,0,621
"43",0,0,1,0,0,0,0,2015,"2015-02-21",21.9,0,517
"44",0,0,0,1,0,0,0,2015,"2015-02-22",36,1,519
"45",0,1,0,0,0,0,0,2015,"2015-02-23",29.4,1,574
"46",0,0,0,0,0,1,0,2015,"2015-02-24",14.3,0,580
"47",0,0,0,0,0,0,1,2015,"2015-02-25",29.9,0,628
"48",0,0,0,0,1,0,0,2015,"2015-02-26",28,1,539
"49",1,0,0,0,0,0,0,2015,"2015-02-27",24.2,0,703
"50",0,0,1,0,0,0,0,2015,"2015-02-28",22.2,0,538
"51",0,0,0,1,0,0,0,2015,"2015-03-01",23.1,0,693
"52",0,1,0,0,0,0,0,2015,"2015-03-02",33.4,0,650
"53",0,0,0,0,0,1,0,2015,"2015-03-03",27,0,631
"54",0,0,0,0,0,0,1,2015,"2015-03-04",36.1,1,574
"55",0,0,1,0,0,0,0,2015,"2015-03-07",25,0,578
"56",0,0,0,1,0,0,0,2015,"2015-03-08",33.8,0,464
"57",0,1,0,0,0,0,0,2015,"2015-03-09",35.6,0,661
"58",0,0,0,0,0,1,0,2015,"2015-03-10",36.5,0,584
"59",0,0,0,0,0,0,1,2015,"2015-03-11",42.1,1,565
"60",0,0,0,0,1,0,0,2015,"2015-03-12",38.1,0,586
"61",1,0,0,0,0,0,0,2015,"2015-03-13",31.1,0,609
"62",0,0,1,0,0,0,0,2015,"2015-03-14",38.7,1,507
"63",0,0,0,1,0,0,0,2015,"2015-03-15",38.5,0,459
"64",0,1,0,0,0,0,0,2015,"2015-03-16",32.9,0,529
"65",0,0,0,0,0,1,0,2015,"2015-03-17",38.6,0,528
"66",0,0,0,0,0,0,1,2015,"2015-03-18",31,0,547
"67",0,0,0,0,1,0,0,2015,"2015-03-19",27.6,0,582
"68",1,0,0,0,0,0,0,2015,"2015-03-20",30.3,0,570
"69",0,0,1,0,0,0,0,2015,"2015-03-21",34.2,0,507
"70",0,0,0,1,0,0,0,2015,"2015-03-22",35.1,0,432
"71",0,1,0,0,0,0,0,2015,"2015-03-23",27.2,0,586
"72",0,0,0,0,0,1,0,2015,"2015-03-24",31.4,0,601
"73",0,0,0,0,0,0,1,2015,"2015-03-25",33.6,0,538
"74",0,0,0,0,1,0,0,2015,"2015-03-26",42.6,1,525
"75",1,0,0,0,0,0,0,2015,"2015-03-27",42.4,1,532
"76",0,0,1,0,0,0,0,2015,"2015-03-28",37.4,0,459
"77",0,0,0,1,0,0,0,2015,"2015-03-29",34.9,0,505
"78",0,1,0,0,0,0,0,2015,"2015-03-30",36.8,0,556
"79",0,0,0,0,0,1,0,2015,"2015-03-31",39.4,0,628
"80",0,0,0,0,0,0,1,2015,"2015-04-01",37.9,0,648
"81",0,0,0,0,1,0,0,2015,"2015-04-02",37.1,0,653
"82",1,0,0,0,0,0,0,2015,"2015-04-03",45,0,491
"83",0,0,1,0,0,0,0,2015,"2015-04-04",47.3,1,507
"84",0,1,0,0,0,0,0,2015,"2015-04-06",43.2,1,510
"85",0,0,0,0,0,1,0,2015,"2015-04-07",44.2,0,452
"86",0,0,0,0,0,0,1,2015,"2015-04-08",41.2,0,457
"87",0,0,0,0,1,0,0,2015,"2015-04-09",39.4,0,452
"88",1,0,0,0,0,0,0,2015,"2015-04-10",43.9,1,486
"89",0,0,1,0,0,0,0,2015,"2015-04-11",47.8,1,576
"90",0,0,0,1,0,0,0,2015,"2015-04-12",45,0,443
"91",0,1,0,0,0,0,0,2015,"2015-04-13",45,0,554
