"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","wdsp","NUM_COLLISIONS"
"1",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,40.4,21.5,13.1,442
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,34.5,19.8,11.1,456
"3",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,44,32.1,16.3,498
"4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,20.8,5.2,10.3,777
"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,22.6,10.2,12.1,538
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,13.1,-2.4,14.8,573
"7",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,35.2,22.5,21,751
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,26.9,10,10.2,481
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,40.9,35.6,6.3,580
"10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,32.6,25.6,16.3,613
"11",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,32.1,24,9.6,506
"12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,35.8,33.6,14.1,548
"13",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,34.5,23.4,14.9,563
"14",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,20.2,1.9,13.3,495
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,41.7,36,13.5,496
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,35.7,23.4,13.1,500
"17",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,32.3,17.7,7.9,495
"18",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,35.5,30.5,8.4,508
"19",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,31.6,20.4,10.4,598
"20",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,38.5,34.8,12.4,428
"21",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,31.2,20.9,12.7,484
"22",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,21.6,14.7,16.6,458
"23",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,29.2,20.9,8.5,519
"24",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,35.1,31.1,8.1,622
"25",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,24.5,12.9,20.3,526
"26",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,33.1,27.4,12.8,680
"27",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,21,11.7,17.6,740
"28",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,28.1,18.4,7.6,585
"29",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,34.1,28.9,12.9,569
"30",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,16.8,5,15.8,652
"31",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,27.4,16,10.3,449
"32",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,37.1,34.3,14.9,547
"33",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,36.4,32.9,21.1,571
"34",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,32.6,23.3,23.9,610
"35",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,31,23.6,9.5,526
"36",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,21.8,11,16.2,757
"37",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,20.6,8.9,8.4,436
"38",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,25.7,21,19.6,454
"39",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,21.7,11.8,7.7,620
"40",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,30.6,24.5,8.8,626
"41",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,27,19.7,11,515
"42",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,14.1,-0.8,18.8,621
"43",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,21.9,10.6,8.5,517
"44",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,36,34,7.7,519
"45",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,29.4,19.6,8.9,574
"46",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,14.3,0.2,11.9,580
"47",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,29.9,21.8,12.4,628
"48",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,28,19.6,12,539
"49",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,24.2,12.2,9.3,703
"50",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,22.2,9.9,7.2,538
"51",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2015,23.1,14.2,5.1,693
"52",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2015,33.4,27.2,10.9,650
"53",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2015,27,10.3,10.8,631
"54",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2015,36.1,33.8,14.8,574
"55",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2015,25,15.9,10.9,578
"56",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2015,33.8,28,8,464
"57",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2015,35.6,26.1,9.5,661
"58",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2015,36.5,30.3,6,584
"59",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2015,42.1,38.5,12.3,565
"60",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2015,38.1,21.9,14.1,586
"61",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2015,31.1,11.6,12.3,609
"62",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2015,38.7,33.3,10.8,507
"63",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2015,38.5,33.8,12.3,459
"64",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2015,32.9,18.5,17.1,529
"65",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2015,38.6,34.1,10.1,528
"66",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2015,31,3.9,21.1,547
"67",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2015,27.6,-1.5,18.3,582
"68",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2015,30.3,13.2,6.3,570
"69",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2015,34.2,31,8.5,507
"70",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2015,35.1,18.8,15.7,432
"71",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2015,27.2,1.4,14.9,586
"72",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2015,31.4,16.3,6.7,601
"73",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2015,33.6,24.1,6.7,538
"74",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2015,42.6,39.7,12.8,525
"75",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2015,42.4,40,13.1,532
"76",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2015,37.4,34.5,12.7,459
"77",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2015,34.9,23.9,10.6,505
"78",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2015,36.8,28.3,11,556
"79",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2015,39.4,31.2,13.6,628
"80",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,37.9,24.8,11.5,648
"81",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,37.1,27.6,7,653
"82",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,45,41.6,14.6,491
"83",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,47.3,39.1,13.7,507
"84",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,43.2,36.1,6.8,510
"85",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,44.2,40.5,9.3,452
"86",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,41.2,34.2,14.8,457
"87",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,39.4,35.5,18.7,452
"88",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,43.9,41.7,9.4,486
"89",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,47.8,40.7,12.4,576
"90",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,45,31.4,10.1,443
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,45,38.2,9.1,554
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,49.8,46.3,10.2,542
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,50.6,35.8,6.9,595
"94",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,46.4,28.5,8.6,560
"95",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,47.5,43.2,12.5,679
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,51.9,45.2,7.7,605
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,46.3,37.4,11,471
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,45.2,40.7,16.2,630
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,51.5,48.6,14.3,645
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,49.8,39.7,8.6,568
"101",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,46.9,37.6,13.4,612
"102",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,44,27.7,14.6,676
"103",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,43.7,27.5,12.9,592
"104",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,46.1,34,7.4,477
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,49,37.9,8.9,558
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,46,35.9,15.7,613
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,49.3,38.5,7.8,679
"108",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,48.1,38.3,7.8,640
"109",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2015,43.8,37.2,13.3,642
"110",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2015,44.4,36.7,9.6,540
"111",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2015,44.5,38,5.3,555
"112",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2015,52.2,47.2,8.8,641
"113",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2015,57.1,48.6,11,638
"114",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2015,55.3,42.1,6.8,568
"115",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2015,55.9,42.3,7.2,684
"116",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2015,52.4,47.8,8.8,709
"117",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2015,54.3,50.9,6.4,560
"118",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2015,57,54.8,8.3,549
"119",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2015,57.9,55.9,11.1,645
"120",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2015,58.3,56.2,11.3,684
"121",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2015,59.5,47.2,12.2,655
"122",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2015,54,39.9,6.9,654
"123",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2015,54.4,46.4,9.7,723
"124",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2015,55.5,50.3,7.5,650
"125",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2015,63.1,56.2,9.1,543
"126",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2015,53.9,48.8,9.4,566
