"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","visib","wdsp","mxpsd","gust","prcp","fog","NUM_COLLISIONS"
"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2021,39.6,29.3,10,7.6,14,20,0.13,0,257
"2",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2021,47.4,42.5,7.4,15.4,22.9,34,0.56,1,220
"3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,41.2,37.8,9.1,15.7,21,28.9,0.4,0,242
"4",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2021,38.7,36.1,8.6,16,19,26,0.14,0,228
"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,37.4,31.2,9.9,17.3,22,28,0.01,0,220
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2021,36.5,26.1,10,11.9,17.1,22,0,0,285
"7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2021,33.3,24.9,10,7.2,13,999.9,0,0,272
"8",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2021,32.9,26.8,9.7,11.8,18.1,26,0,0,244
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,32.6,27.9,10,4.5,8.9,999.9,0,0,238
"10",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2021,37,29.1,10,6.5,12,999.9,0,0,279
"11",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,35.8,25.2,10,5.8,9.9,999.9,0,0,245
"12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2021,41.3,35.5,8.8,5.7,11.1,999.9,0,0,253
"13",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2021,41.3,35.3,8.7,6.6,11.1,999.9,0,0,272
"14",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2021,45.4,42.1,7.3,14.6,24.1,32.1,0.08,0,265
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,40.8,31,9.7,20,28.9,38.1,0.62,0,210
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,42.6,31,10,15.6,22,26,0,0,225
"17",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2021,35.8,23.9,10,11.3,15.9,22.9,0,0,261
"18",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,34.7,25.5,9.5,9.2,17.1,21,0.01,0,253
"19",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2021,30.9,20.6,10,10.4,17.1,22.9,0,0,251
"20",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2021,36.5,28.4,10,7.8,12,20,0,0,254
"21",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2021,32.2,19,10,13.2,19,26,0,0,251
"22",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,24.7,7.5,10,19.8,25.1,35,0,0,212
"23",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,26.6,12.3,10,11.4,19,28,0,0,260
"24",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2021,31.9,23.4,9,7.4,12,999.9,0,0,263
"25",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,34.6,33.8,8,7.8,12,999.9,0.25,0,262
"26",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2021,35.3,34.5,9.6,11.1,21,32.1,0.02,0,262
"27",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2021,18.1,8.9,8.5,21.7,27,38.1,0.01,0,291
"28",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2021,19.2,11.2,9.5,15.3,27,40,0,0,284
"29",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,22.2,13.6,10,7.6,14,999.9,0,0,297
"30",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,33.7,29.5,6.8,15.3,27,36.9,0,0,239
"31",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2021,41.8,41.6,3.4,18.4,28,40,1.09,1,238
"32",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,34.1,31.9,9.5,9.5,15.9,22.9,0.01,0,246
"33",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2021,33.3,27.6,9.9,8.4,13,999.9,0,0,277
"34",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2021,37.2,34.4,9.8,7.9,15.9,999.9,0,0,326
"35",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2021,38.9,31.7,9.9,13.8,20,28,0,0,275
"36",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,35.1,31.2,7.3,12.1,28.9,38.1,0,1,243
"37",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,27.6,20.5,9.2,15.2,25.1,33,0.78,0,301
"38",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2021,26.1,21.2,8.8,5.5,12,999.9,0,1,229
"39",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,29.4,23.4,9.8,11.2,17.1,26,0.36,0,279
"40",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2021,26.2,18.5,8.7,5.6,8.9,999.9,0,0,299
"41",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2021,22.5,10.9,10,12.5,20,24.1,0,0,290
"42",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2021,27.6,18.2,10,7.8,13,17.1,0,0,210
"43",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,37,36.1,8.3,8.9,12,999.9,0,0,208
"44",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2021,42.7,42.7,1.4,14.7,20,26,0.02,1,213
"45",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,32.6,21.3,10,13.4,19,27,0.17,0,239
"46",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2021,29.2,19.5,7.5,6.1,9.9,999.9,0,1,256
