"","day","year","mo","temp","dewp","max","min","fog","NUM_COLLISIONS"
"975",7,2015,1,40.4,21.5,45,28,0,442
"976",1,2015,1,34.5,19.8,45,30,0,456
"978",3,2015,1,44,32.1,55,28.9,0,498
"979",4,2015,1,20.8,5.2,28,19,0,777
"980",5,2015,1,22.6,10.2,27,17.1,0,538
"981",6,2015,1,13.1,-2.4,27,6.1,0,573
"982",7,2015,1,35.2,22.5,46,26.1,0,751
"983",1,2015,1,26.9,10,30,21.9,0,481
"985",3,2015,1,40.9,35.6,52,21,1,580
"986",4,2015,1,32.6,25.6,52,26.1,0,613
"987",5,2015,1,32.1,24,37,26.1,0,506
"988",6,2015,1,35.8,33.6,37.9,28,0,548
"989",7,2015,1,34.5,23.4,39.9,28.9,0,563
"990",1,2015,1,20.2,1.9,39.9,15.1,0,495
"992",3,2015,1,41.7,36,50,30.9,0,496
"993",4,2015,1,35.7,23.4,44.1,33.1,0,500
"994",5,2015,1,32.3,17.7,39,25,0,495
"995",6,2015,1,35.5,30.5,39,25,0,508
"996",7,2015,1,31.6,20.4,39,27,0,598
"997",1,2015,1,38.5,34.8,45,27,0,428
"999",3,2015,1,31.2,20.9,43,26.1,0,484
"1001",5,2015,1,21.6,14.7,26.1,19,0,458
"1002",6,2015,1,29.2,20.9,36,19,0,519
"1003",7,2015,1,35.1,31.1,41,23,0,622
"1004",1,2015,1,24.5,12.9,34,17.1,0,526
"1006",3,2015,2,33.1,27.4,46,19.9,1,680
"1007",4,2015,2,21,11.7,46,14,0,740
"1008",5,2015,2,28.1,18.4,39.9,14,0,585
"1009",6,2015,2,34.1,28.9,39.9,15.1,1,569
"1010",7,2015,2,16.8,5,39.9,10.9,0,652
"1011",1,2015,2,27.4,16,33.1,10.9,0,449
"1013",3,2015,2,37.1,34.3,37.9,30.9,0,547
"1014",4,2015,2,36.4,32.9,37.9,35.1,0,571
"1015",5,2015,2,32.6,23.3,37,30.9,0,610
"1016",6,2015,2,31,23.6,35.1,27,0,526
"1017",7,2015,2,21.8,11,35.1,14,0,757
"1018",1,2015,2,20.6,8.9,33.1,8.1,1,436
"1019",2,2015,2,25.7,21,34,8.1,1,454
"1021",4,2015,2,21.7,11.8,28.9,17.1,0,620
"1022",5,2015,2,30.6,24.5,36,16,0,626
"1023",6,2015,2,27,19.7,36,19.9,0,515
"1024",7,2015,2,14.1,-0.8,19,8.6,0,621
"1025",1,2015,2,21.9,10.6,37,3.9,0,517
"1026",2,2015,2,36,34,41,33.1,1,519
"1027",3,2015,2,29.4,19.6,41,21,1,574
"1028",4,2015,2,14.3,0.2,33.1,8.1,0,580
"1029",5,2015,2,29.9,21.8,33.8,23,0,628
"1030",6,2015,2,28,19.6,33.1,25,1,539
"1031",7,2015,2,24.2,12.2,30.9,19.9,0,703
"1032",1,2015,2,22.2,9.9,28,16,0,538
"1033",2,2015,3,23.1,14.2,30.9,10,0,693
"1034",3,2015,3,33.4,27.2,36,30.2,0,650
"1035",4,2015,3,27,10.3,36,23,0,631
"1036",5,2015,3,36.1,33.8,41,23,1,574
"1039",1,2015,3,25,15.9,33.1,12,0,578
"1040",2,2015,3,33.8,28,39,14,0,464
"1041",3,2015,3,35.6,26.1,44.1,24.1,0,661
"1042",4,2015,3,36.5,30.3,44.1,24.1,0,584
"1043",5,2015,3,42.1,38.5,48,28,1,565
"1044",6,2015,3,38.1,21.9,48,33.1,0,586
"1045",7,2015,3,31.1,11.6,41,26.1,0,609
"1046",1,2015,3,38.7,33.3,46,26.1,1,507
"1047",2,2015,3,38.5,33.8,46,30.9,0,459
"1048",3,2015,3,32.9,18.5,43,28,0,529
"1049",4,2015,3,38.6,34.1,46.9,28,0,528
"1050",5,2015,3,31,3.9,46.9,28,0,547
"1051",6,2015,3,27.6,-1.5,35.1,21.9,0,582
"1052",7,2015,3,30.3,13.2,35.1,21.9,0,570
"1053",1,2015,3,34.2,31,41,21.9,0,507
"1054",2,2015,3,35.1,18.8,41,21,0,432
"1055",3,2015,3,27.2,1.4,37.9,21,0,586
"1056",4,2015,3,31.4,16.3,37.9,21,0,601
"1057",5,2015,3,33.6,24.1,44.1,24.1,0,538
"1058",6,2015,3,42.6,39.7,46.9,27,1,525
"1059",7,2015,3,42.4,40,48.9,37.9,1,532
"1060",1,2015,3,37.4,34.5,39,33.8,0,459
"1061",2,2015,3,34.9,23.9,39.9,28.9,0,505
"1062",3,2015,3,36.8,28.3,44.1,27,0,556
"1063",4,2015,3,39.4,31.2,46,33.1,0,628
"1064",5,2015,4,37.9,24.8,46,34,0,648
"1065",6,2015,4,37.1,27.6,46.9,24.1,0,653
"1066",7,2015,4,45,41.6,48,42.1,0,491
"1067",1,2015,4,47.3,39.1,57,41,1,507
"1069",3,2015,4,43.2,36.1,51.1,32,1,510
"1070",4,2015,4,44.2,40.5,51.1,32,0,452
"1071",5,2015,4,41.2,34.2,48,39,0,457
"1072",6,2015,4,39.4,35.5,46.9,37,0,452
"1073",7,2015,4,43.9,41.7,53.1,37,1,486
"1074",1,2015,4,47.8,40.7,57.9,39.9,1,576
"1075",2,2015,4,45,31.4,57.9,32,0,443
"1076",3,2015,4,45,38.2,54,32,0,554
"1077",4,2015,4,49.8,46.3,54,37.9,0,542
"1078",5,2015,4,50.6,35.8,62.1,37.9,1,595
"1079",6,2015,4,46.4,28.5,62.1,37.9,0,560
"1080",7,2015,4,47.5,43.2,54,39,1,679
"1081",1,2015,4,51.9,45.2,64,41,1,605
"1082",2,2015,4,46.3,37.4,64,39.9,0,471
"1083",3,2015,4,45.2,40.7,52,39.9,0,630
"1084",4,2015,4,51.5,48.6,55.9,39.9,1,645
"1085",5,2015,4,49.8,39.7,57,37.9,0,568
"1086",6,2015,4,46.9,37.6,57,37.9,0,612
"1087",7,2015,4,44,27.7,51.1,37.9,0,676
"1088",1,2015,4,43.7,27.5,51.1,37,0,592
"1089",2,2015,4,46.1,34,54,37,0,477
"1090",3,2015,4,49,37.9,57,39,0,558
"1091",4,2015,4,46,35.9,57,41,0,613
"1092",5,2015,4,49.3,38.5,55.9,39.9,0,679
"1093",6,2015,4,48.1,38.3,57,39,0,640
"1094",7,2015,5,43.8,37.2,57,39,0,642
"1095",1,2015,5,44.4,36.7,51.1,39,0,540
"1096",2,2015,5,44.5,38,53.1,32,1,555
"1097",3,2015,5,52.2,47.2,60.1,32,0,641
"1098",4,2015,5,57.1,48.6,71.1,46,0,638
"1099",5,2015,5,55.3,42.1,71.1,46.9,0,568
"1100",6,2015,5,55.9,42.3,70,42.1,0,684
"1101",7,2015,5,52.4,47.8,70,42.1,1,709
"1102",1,2015,5,54.3,50.9,64.9,46.9,1,560
"1103",2,2015,5,57,54.8,64.9,50,1,549
"1104",3,2015,5,57.9,55.9,66.9,54,1,645
"1105",4,2015,5,58.3,56.2,66.9,54,1,684
"1106",5,2015,5,59.5,47.2,66.9,53.1,0,655
"1107",6,2015,5,54,39.9,66.9,45,0,654
"1108",7,2015,5,54.4,46.4,64.9,46.9,0,723
"1109",1,2015,5,55.5,50.3,64,48,0,650
"1110",2,2015,5,63.1,56.2,78.1,50,0,543
"1111",3,2015,5,53.9,48.8,60.1,48,1,566
"1112",4,2015,5,51.4,49.9,61,46,1,606
"1113",5,2015,5,58.8,50.1,64.9,46,1,666
"1114",6,2015,5,54.8,41.1,64.9,48,0,615
"1115",7,2015,5,53.8,48,61,48,0,727
"1116",1,2015,5,54.8,33.2,61,48,0,546
"1117",2,2015,5,56.5,48.2,63,51.1,0,432
"1119",4,2015,5,61.1,56.2,66,54,0,686
"1120",5,2015,5,62.4,57.8,68,57.9,0,697
"1121",6,2015,5,62.4,57.6,68,59,0,682
"1122",7,2015,5,65.4,57.4,75.9,60.1,0,813
"1123",1,2015,5,63.3,59.9,75.9,57.9,1,622
"1124",2,2015,5,64.7,60.9,71.1,59,1,555
"1125",3,2015,6,55.9,52.8,71.1,53.1,0,691
"1126",4,2015,6,53.4,50.1,61,51.1,0,642
"1127",5,2015,6,53,44.9,57.9,50,0,658
"1128",6,2015,6,52.2,42.8,60.1,43,0,552
"1129",7,2015,6,53.1,46.6,60.1,43,0,692
"1130",1,2015,6,58,52.5,63,46.9,1,598
"1131",2,2015,6,59.5,45.8,69.1,51.1,0,559
"1132",3,2015,6,59.6,51.8,69.1,51.1,0,634
"1133",4,2015,6,64,59.9,70,53.1,0,652
"1134",5,2015,6,65.2,58.5,73,57.9,1,667
"1135",6,2015,6,64.6,59.7,73,57.9,0,666
"1136",7,2015,6,67,60.2,79,61,1,451
"1138",2,2015,6,66.9,53.5,75.9,59,0,578
"1139",3,2015,6,57.8,51.4,59,55,0,506
"1140",4,2015,6,64.2,61.9,73,55.9,1,593
"1141",5,2015,6,64.8,53.9,66.9,57,1,706
"1142",6,2015,6,59.1,47.7,66.9,48.9,0,615
"1143",7,2015,6,65.6,58,80.1,48.9,0,732
"1144",1,2015,6,62,56,80.1,55.9,0,505
"1145",2,2015,6,64.9,61.5,71.6,59,1,620
"1146",3,2015,6,67.1,62.7,77,59,1,774
"1147",4,2015,6,65.5,61.1,77,59,1,703
"1148",5,2015,6,70.8,62.5,79,59,1,778
"1149",6,2015,6,68.7,57.9,79,62.1,0,670
"1150",7,2015,6,66,60.5,77,61,0,774
"1151",1,2015,6,61.5,55.4,72,54,1,595
"1152",2,2015,6,64.4,61.6,71.1,54,1,535
"1153",3,2015,6,64.3,59.4,71.1,57,1,662
"1154",4,2015,6,67.1,61.8,73.9,57,0,622
"1155",5,2015,7,65.5,62.2,72,61,1,683
"1156",6,2015,7,68.7,62.5,77,61,0,603
"1157",7,2015,7,68.3,58.3,77,61,1,549
"1159",2,2015,7,65.8,59.5,73.9,55,0,467
"1160",3,2015,7,69.2,64.4,78.1,55,0,598
"1161",4,2015,7,68.1,64.3,78.1,62.1,0,646
"1162",5,2015,7,70.6,67.8,75.9,62.1,1,620
"1163",6,2015,7,69.1,61.2,75.9,66,0,567
"1164",7,2015,7,65.2,60.1,75,60.1,0,709
"1165",1,2015,7,71.8,62.1,81,60.1,0,597
"1166",2,2015,7,71.5,64.6,81,64.9,0,521
"1167",3,2015,7,70.9,64.9,80.1,66,0,668
"1168",4,2015,7,67.4,63,79,62.1,0,657
"1169",5,2015,7,72.3,68.8,82,62.1,1,611
"1170",6,2015,7,67.3,57.3,82,60.1,0,686
"1171",7,2015,7,64.9,57.6,73,54,0,659
"1172",1,2015,7,67.8,60.5,73.9,55,0,561
"1173",2,2015,7,71.4,67.9,77,64,1,545
"1174",3,2015,7,73.4,69.9,81,69.1,1,727
"1175",4,2015,7,72.6,69.7,82,68,1,606
"1176",5,2015,7,73.7,65,82,68,1,618
"1177",6,2015,7,71.9,60.8,80.1,63,0,623
"1178",7,2015,7,71.7,60.3,80.1,62.1,0,490
"1179",1,2015,7,68.5,60.2,80.1,60.1,0,451
"1180",2,2015,7,65.8,61.6,77,60.1,1,551
"1181",3,2015,7,71.1,66.5,75,61,0,626
"1182",4,2015,7,72.4,68.7,80.1,68,1,643
"1183",5,2015,7,76,69.9,86,68,1,629
"1184",6,2015,7,74.2,70.7,86,69.1,0,717
"1185",7,2015,7,76.7,68.5,87.1,71.1,0,753
"1186",1,2015,8,73.4,68.5,87.1,66,1,668
"1187",2,2015,8,75.9,64.8,82.9,66,0,550
"1188",3,2015,8,74,68.2,82.9,69.1,0,705
"1189",4,2015,8,75,71.7,81,70,0,666
"1190",5,2015,8,74.5,68.8,81,68,1,619
"1191",6,2015,8,73.5,59.6,81,66.9,0,630
"1192",7,2015,8,71.2,61.9,79,64,0,726
"1193",1,2015,8,69.7,61.1,78.1,64,0,545
"1194",2,2015,8,67,62.1,77,64,0,489
"1195",3,2015,8,66.9,60.8,73.9,55.9,1,611
"1196",4,2015,8,67.9,64.4,73.9,55.9,0,601
"1197",5,2015,8,71.9,67.4,77,64,1,643
"1198",6,2015,8,71.1,65.8,79,63,1,714
"1199",7,2015,8,70.4,63.5,81,62.1,0,729
"1200",1,2015,8,71.8,67,81,62.1,1,582
"1201",2,2015,8,74.3,68.8,82,70,0,552
"1202",3,2015,8,74.1,70.4,82.9,70,0,592
"1203",4,2015,8,74.5,71,82.9,70,1,623
"1204",5,2015,8,73.9,70.1,81,69.1,1,594
"1205",6,2015,8,73.4,69.4,82,68,1,600
"1206",7,2015,8,73.6,70.2,82,68,1,753
"1207",1,2015,8,73.9,71.1,82,70,1,581
"1208",2,2015,8,73.4,69.9,82,69.1,1,492
"1209",3,2015,8,71.7,69.2,81,68,1,575
"1210",4,2015,8,72.8,68.7,81,66.9,0,595
"1211",5,2015,8,73.8,68.1,81,68,0,606
"1212",6,2015,8,72.3,60.6,81,62.1,0,614
"1213",7,2015,8,71.4,59.5,80.1,62.1,0,609
"1214",1,2015,8,70.3,62.5,80.1,62.1,0,539
"1215",2,2015,8,72.6,66.8,80.1,63,0,563
"1216",3,2015,8,74.8,69.6,82,66.9,0,614
"1217",4,2015,9,74.6,64.7,82,64.9,0,626
"1218",5,2015,9,66,62.6,81,61,1,654
"1219",6,2015,9,74.5,70,81,69.1,0,665
"1220",7,2015,9,70.6,65.2,75,64,1,643
"1221",1,2015,9,66.8,55.9,73,54,0,541
"1222",2,2015,9,66.6,55.9,72,50,0,504
"1223",3,2015,9,73,66.9,79,64,0,485
"1224",4,2015,9,76.4,69.6,81,70,0,795
"1225",5,2015,9,75.8,71,81,71.6,1,740
"1226",6,2015,9,73.8,71.2,77,71.6,1,716
"1227",7,2015,9,68.6,65.6,72,64,0,765
"1228",1,2015,9,67.7,59.2,73,61,0,554
"1229",2,2015,9,68.2,65,73,63,0,478
"1230",3,2015,9,67.6,57.8,70,63,0,579
"1231",4,2015,9,70.8,58.4,79,64,0,579
"1232",5,2015,9,72.8,61.9,81,64,0,748
"1233",6,2015,9,69.3,65.6,75.9,48.9,1,744
"1234",7,2015,9,70.1,66.5,77,48.9,1,760
"1235",1,2015,9,70.4,66.2,77,63,1,655
"1236",2,2015,9,70.7,65.3,80.1,64,1,556
"1237",3,2015,9,63.9,52.9,80.1,61,0,624
"1238",4,2015,9,63.5,55.8,70,60.1,0,571
"1239",5,2015,9,62.4,55.2,70,55,0,501
"1240",6,2015,9,61.5,54.2,73,50,0,619
"1241",7,2015,9,61.2,50.2,73,50,0,585
"1242",1,2015,9,59.4,47.2,70,52,0,557
"1243",2,2015,9,59.4,50.9,70,48,0,493
"1244",3,2015,9,66.8,62,75.9,48,0,586
"1245",4,2015,9,69.3,65.6,75.9,61,0,557
"1246",5,2015,9,70.5,68.3,75,63,0,634
"1247",6,2015,10,59.7,55.3,73.9,57,0,683
