"","day","year","mo","temp","dewp","wdsp","NUM_COLLISIONS"
"975",1,2015,1,40.4,21.5,13.1,442
"976",7,2015,1,34.5,19.8,11.1,456
"978",5,2015,1,44,32.1,16.3,498
"979",4,2015,1,20.8,5.2,10.3,777
"980",3,2015,1,22.6,10.2,12.1,538
"982",1,2015,1,35.2,22.5,21,751
"983",7,2015,1,26.9,10,10.2,481
"985",5,2015,1,40.9,35.6,6.3,580
"986",4,2015,1,32.6,25.6,16.3,613
"987",3,2015,1,32.1,24,9.6,506
"988",2,2015,1,35.8,33.6,14.1,548
"989",1,2015,1,34.5,23.4,14.9,563
"990",7,2015,1,20.2,1.9,13.3,495
"992",5,2015,1,41.7,36,13.5,496
"993",4,2015,1,35.7,23.4,13.1,500
"994",3,2015,1,32.3,17.7,7.9,495
"995",2,2015,1,35.5,30.5,8.4,508
"996",1,2015,1,31.6,20.4,10.4,598
"997",7,2015,1,38.5,34.8,12.4,428
"999",5,2015,1,31.2,20.9,12.7,484
"1001",3,2015,1,21.6,14.7,16.6,458
"1002",2,2015,1,29.2,20.9,8.5,519
"1003",1,2015,1,35.1,31.1,8.1,622
"1004",7,2015,1,24.5,12.9,20.3,526
"1006",5,2015,2,33.1,27.4,12.8,680
"1007",4,2015,2,21,11.7,17.6,740
"1008",3,2015,2,28.1,18.4,7.6,585
"1009",2,2015,2,34.1,28.9,12.9,569
"1010",1,2015,2,16.8,5,15.8,652
"1011",7,2015,2,27.4,16,10.3,449
"1013",5,2015,2,37.1,34.3,14.9,547
"1014",4,2015,2,36.4,32.9,21.1,571
"1015",3,2015,2,32.6,23.3,23.9,610
"1016",2,2015,2,31,23.6,9.5,526
"1017",1,2015,2,21.8,11,16.2,757
"1018",7,2015,2,20.6,8.9,8.4,436
"1019",6,2015,2,25.7,21,19.6,454
"1021",4,2015,2,21.7,11.8,7.7,620
"1022",3,2015,2,30.6,24.5,8.8,626
"1023",2,2015,2,27,19.7,11,515
"1025",7,2015,2,21.9,10.6,8.5,517
"1026",6,2015,2,36,34,7.7,519
"1027",5,2015,2,29.4,19.6,8.9,574
"1028",4,2015,2,14.3,0.2,11.9,580
"1029",3,2015,2,29.9,21.8,12.4,628
"1030",2,2015,2,28,19.6,12,539
"1031",1,2015,2,24.2,12.2,9.3,703
"1032",7,2015,2,22.2,9.9,7.2,538
"1033",6,2015,3,23.1,14.2,5.1,693
"1034",5,2015,3,33.4,27.2,10.9,650
"1035",4,2015,3,27,10.3,10.8,631
"1036",3,2015,3,36.1,33.8,14.8,574
"1039",7,2015,3,25,15.9,10.9,578
