mo,f0_,f1_,f2_,f3_,f4_,f5_,f6_
01,34.11935483870969,25.313824884792623,8.3258064516128982,12.503225806,20.147465438,208.78110599078337,549.03686635944723
02,34.263131313131282,25.769191919191929,8.099494949494952,12.140909091,20.048989899,235.52121212121216,557.48989898989873
03,36.714285714285737,26.79957983193276,8.62436974789916,12.680672269,19.824369748,196.48445378151257,572.61344537815114
04,45.752017937219719,37.261434977578489,8.3941704035874363,11.50044843,18.513901345,262.87847533632282,576.17040358744373
05,54.340772532188858,47.659656652360539,7.96051502145923,10.027038627,16.234763948,380.29742489270376,631.62660944205982
06,62.208256880733948,56.182568807339429,7.8775229357798136,9.216972477,14.963302752,525.75091743119242,654.26146788990809
07,70.419354838709666,104.76854838709671,7.5754032258064532,7.716129032,13.336693548,653.306048387097,598.74596774193515
08,70.404838709677449,64.467741935483858,8.2883064516129057,7.528225806,13.146370968,661.059274193548,587.37096774193549
09,65.525416666666672,58.90499999999998,8.5966666666666676,8.680833333,23.231666667,446.85583333333341,607.19999999999993
10,57.329435483870981,49.907661290322586,8.8,10.281451613,17.397983871,353.13467741935483,608.79032258064512
11,46.770416666666677,37.080416666666672,9.0287499999999987,11.04,23.308333333,264.08041666666645,600.43333333333339
12,40.361290322580629,32.049193548387095,8.38911290322581,10.446774194,18.25483871,231.40604838709692,588.93145161290317
