mo,f0_,f1_,f2_,f3_,f4_,f5_,f6_,f7_,f8_,f9_,f10_,f11_
01,36.658695652173904,28.659782608695654,1013.9402173913046,8.6260869565217391,13.798913043,21.72826087,30.360869565217381,45.401086957,28.994565217,0.16402173913043477,999.9,0.173913043
02,35.455294117647057,27.175294117647056,1017.1011764705884,8.4952941176470578,13.131764706,20.992941176,29.229411764705876,43.771764706,27.414117647,0.12541176470588228,999.9,0.141176471
03,40.762962962962952,30.527777777777775,1014.4851851851853,8.3333333333333357,13.666666667,21.37037037,29.837037037037032,48.624074074,32.62962963,0.082407407407407415,999.9,0.222222222
04,48.270370370370372,38.348148148148141,1013.4111111111113,8.9351851851851851,13.301851852,20.159259259,26.955555555555556,56.224074074,41.040740741,0.10055555555555559,999.9,0.166666667
05,53.928947368421063,45.423684210526325,1015.542105263158,8.73157894736842,12.806578947,19.896052632,26.611842105263161,62.664473684,46.85,0.17013157894736844,999.9,0.223684211
06,63.346341463414618,57.221951219512192,1015.0024390243901,8.348780487804877,10.873170732,17.443902439,23.253658536585363,71.33902439,56.782926829,0.11097560975609755,999.9,0.243902439
07,71.364864864864856,66.051351351351357,1013.3108108108107,7.6297297297297275,10.662162162,17.021621622,23.064864864864866,79.462162162,64.908108108,8.1510810810810828,999.9,0.405405405
08,71.693333333333328,66.175555555555562,1014.0177777777775,8.2177777777777745,10.986666667,17.366666667,23.726666666666663,78.766666667,65.202222222,8.9499999999999975,999.9,0.311111111
09,65.9311475409836,57.552459016393435,1016.6934426229506,9.313114754098363,12.114754098,18.659016393,25.781967213114758,72.826229508,59.380327869,6.6544262295081946,999.9,0.06557377
10,58.984415584415565,51.467532467532465,1014.8272727272727,8.8012987012986983,12.557142857,19.394805195,27.248051948051952,65.015584416,53.049350649,0.242987012987013,999.9,0.12987013
11,48.589156626506032,37.631325301204832,1017.0638554216865,9.3783132530120437,12.408433735,19.807228916,27.9710843373494,57.438554217,40.568674699,0.10602409638554217,999.9,0.084337349
12,43.139325842696643,34.020224719101115,1016.0898876404497,8.8640449438202271,13.561797753,21.447191011,29.971910112359556,50.403370787,35.782022472,0.13707865168539327,999.9,0.146067416
