mo,f0_,f1_,f2_,f3_,f4_,f5_,f6_,f7_,f8_,f9_,f10_,f11_,f12_
01,34.193877551020385,25.008673469387759,1015.9045918367342,8.303571428571427,13.618877551,21.664795918,29.926020408163289,42.415306122,26.66377551,0.14964285714285719,999.9,0.204081633,532.36224489795939
02,34.06473988439307,25.020231213872844,1016.0381502890174,8.0479768786127188,13.194219653,21.728901734,29.771676300578029,42.264739884,26.360115607,0.74705202312138708,999.9,0.277456647,554.09826589595366
03,37.561764705882389,27.562254901960785,1015.0857843137261,8.4735294117647051,14.041176471,21.622058824,29.510294117647064,44.790686275,30.38872549,0.63269607843137277,999.9,0.200980392,551.2107843137253
04,45.503333333333345,36.820555555555579,1015.1333333333337,8.19388888888889,13.218333333,21.102222222,28.532222222222206,53.385,38.519444444,0.72083333333333277,999.9,0.227777778,518.26111111111049
05,54.290967741935496,47.433548387096778,1015.1348387096771,7.9187096774193524,11.849032258,18.575483871,24.83161290322581,62.234193548,47.846451613,0.14206451612903226,999.9,0.309677419,569.774193548387
06,62.0712962962963,56.249999999999986,1012.8148148148147,7.3185185185185153,11.403703704,18.071296296,24.861111111111111,70.017592593,55.628703704,1.0672222222222225,999.9,0.435185185,631.50925925925947
07,70.832653061224448,65.5612244897959,1013.4448979591837,7.1591836734693892,9.943877551,16.310204082,22.985714285714288,77.884693878,64.756122449,1.1558163265306132,999.9,0.448979592,556.97959183673493
08,70.732999999999976,64.024000000000015,1014.8169999999999,8.3029999999999973,9.432,16.551,23.011000000000006,78.505,63.079,5.110800000000002,999.9,0.28,543.31000000000006
09,64.983892617449641,57.391946308724826,1017.6778523489932,8.7100671140939561,10.797986577,17.975167785,24.260402684563758,72.3,57.285234899,3.51993288590604,999.9,0.147651007,580.31543624161054
10,56.452432432432445,48.0318918918919,1015.8935135135135,8.7929729729729811,11.976756757,19.917297297,27.664324324324323,63.591351351,49.333513514,0.23881081081081074,999.9,0.118918919,582.81621621621628
11,46.4266331658291,36.159798994974892,1016.6824120603018,8.9427135678392009,12.383919598,21.264824121,29.49346733668343,54.849246231,39.086934673,0.18658291457286433,994.89497487437188,0.075376884,582.85929648241211
12,40.2683257918552,31.548416289592762,1016.6524886877827,8.3063348416289582,11.613122172,19.947511312,27.808144796380102,48.308597285,32.585972851,0.19407239819004518,999.9,0.185520362,556.48868778280485
